序号,城市,本科院校,ing,2025届,,24届保研去向,2024届,,2023届,,2022届,,2021届,,2020届,,,,,,
,,,,保研人数,保研率,,保研人数,保研率,保研人数,保研率,保研人数,保研率,保研人数,保研率,保研人数,保研率,,,,,
82,云南,昆明理工大学,昆明理工大学,356,4.3%,"昆明理工大学2023届328名同学保研去向如下：

★保研本校：53人，占比16.16%；

★保研外校：275人；占比83.84%。

其中：双一流院校录取248人，占比75.61%；

985院校录取129人，占比39.33%；

211院校录取226人，占比68.9%。

目前统计到326人的具体录取去向，暂有2人未统计到。特别说明：因存在大量同名同姓的情况，通过姓名及专业的比对结果故存在偏差，仅供参考。",358,4.48%,328,4.34%,,5.13%,,,,,,,,,
83,安徽,安徽理工大学,安徽理工大学,352,4.14%,"据不完全统计，安徽理工大学2023届保研拟录取高校中：211高校占比超80%，985高校占比超30%；省内高校占比超30%。
拟录取人数最高的高校是本校，有30人，其次是合肥工业大学16人，南京航空航天大学14人，东华理工大学11人，中国科学技术大学大学10人。保研大连理工大学8人，中南大学5人，山东大学4人，东北大学4人，厦门大学2人吉林大学2人，东南大学2人，西北工业大学2人，湖南大学2人，清华大学1人，浙江大学1人，中国海洋大学1人，安徽大学8人。",297,4.15%,240,3.66%,219,3.35%,,3.8%,,3.7%,,,,,
84,湖南,中南林业科技大学,中南林业科技大学,290,4.74%,"2023中南林业科技大学保研去向最多的学校是中南大学，其次是湖南大学，然后是华南理工大学。保研去向中南大学的有29人，其中人数较多的专业是材料与化工专业，有8人，其次是土木水利专业有6人，其余电子信息、资源与环境、机械等专业录取人数均不满5人。
•保研到湖南大学的20人分散在环境科学与工程、生物学、建筑学等14个专业。",250,4.07%,209,3.44%,189,3.12%,,2.8%,,2.8%,,,,,
85,河南,华北水利水电大学,,,,在华北水利水电大学2024届保研的同学中，保研外校的名校占比非常高。其中中国科学院大学、华南理工大学、中南大学和西南交通大学等理工科优势学科院校成为主要去向。文科保研去向则主要集中于上海外国语大学等语言特色高校,303,3.98%,259,3.43%,,,,,,,,,,,
86,湖北,武汉工程大学,武汉工程大学,259,5.15%,武汉大学、华东政法大学、中南大学、重庆大学、浙江大学、清华大学、北京大学、中山大学等,219,3.98%,168,3.17%,137,2.8%,,1.6%,,1%,,,,,
87,四川,四川师范大学,四川师范大学,397,3.98%, ,387,3.9%,374,4.28%,372,4.2%,,4.3%,,3.6%,,,,,
88,黑龙江,黑龙江八一农垦大学,黑龙江八一农垦大学,189,3.93%, ,163,3.64%,138,2.96%,106,2.35%,,2.47%,,,,,,,
89,广东,广州大学,广州大学,236,6.07%,"保研本校人数约为五分之一，其余同学选择保研外校，且基本为双一流高校。
其中，保研外校中人数较多的是华南师范大学、暨南大学、华南理工大学、深圳大学、华中师范大学、中国科学院大学、北京师范大学、重庆大学和湖南大学等国内高水平院校。",196,2.6%,164,2.15%,150,1.98%,,1.9%,,1.9%,,,,,
90,陕西,西北大学,,,, ,658,19.77%,598,18.3%,575,18%,,17.1%,,15%,,,,,
91,陕西,西北师范大学,西北政法大学,132,4.27%, ,702,15%,641,14.6%,646,14.69%,,12.95%,,,,,,,
92,江苏,南京工业大学,南京工业大学,442,6.64%,2023南京工业大学保研去向人数最多的院校是华东理工大学，其次是东南大学，再就是厦门大学。保研去向华东理工大学的24名推免生中，有7人选择生物工程专业，6人选择动力工程及工程热物理专业。保研去向东南大学的推免生分散在土木水利、建筑学、化学工程与技术等12个专业。保研去向厦门大学的推免生分散在材料工程、有机化学、物理电子学等专业。,,5.8%,357,4.88%,,4.28%,,,,,,,,,
93,江苏,河海大学,河海大学,1048,19.55%,,,,933,18.39%,,,,16.39%,,,,,,,
94,江苏,南通大学,,,,"在已有数据中南通大学推免生保研去向最多的院校是南通大学本校，其次是苏州大学。
①保研至南通大学本校的同学中上岸纺织科学与工程专业的有11人，选择学科教学(生物)专业的有8人，选择人工智能、信息与通信工程专业的同学分别有6人，选择体育学、艺术设计专业的分别有5人；
②保研到苏州大学的推免生中有3人上岸内科学专业，选择物理学、材料科学与工程专业的分别有2人，选择药学、学科教学(语文)、学科教学(英语)等专业的则分别有1人；",314,4.64%,206,,,,,,,,,,,,
95,江苏,南京农业大学,南京农业大学,957,21.75%,南京农业大学2023届保研本校约为201人，外校拟录取人数较多的高校有：浙江大学70人、中国科学院57人、中国农业大学32人、复旦大学29人、东南大学28人、上海交通大学23人、南京大学23人、南京航空航天大学16人、武汉大学15人、南京师范大学15人、湖南大学14人、中国科学技术大学12人、厦门大学12人、四川大学11人、中山大学11人、华中科技大学11人、华南理工大学10人、山东大学10人、北京大学9人、天津大学9人、中国人民大学8人、华东师范大学8人、南开大学8人、河海大学8人、中南大学7人、大连理工大学7人、华东理工大学7人、上海财经大学6人、北京师范大学6人、中国海洋大学6人。,,21.11%,834,19%,777,18.2%,,16.8%,,15.7%,,,,,
96,江苏,南京医科大学,,,,"南京医科大学2023届297名同学保研去向如下：
★保研本校：143人，占比48.15%；
★保研外校：154人；占比51.85%.
保研外校154名同学中，目前统计到150人的录取去向，暂有4人未统计到。特别说明：因存在大量同名同姓的情况，通过姓名及专业的比对结果有一定偏差，仅供参考。",350,14.34%,300,,258,,,,,,,,,,
97,江苏,中国药科大学,,,, ,,21%,516,19%,495,18.9%,,16.9%,,15.6%,,,,,
98,江苏,南京中医药大学,南京中医药大学,372,11.97%, ,,10.74%,272,12.39%,221,7.87%,,,,,,,,,
99,江苏,扬州大学,扬州大学,585,7.51%,"扬州大学2023届488名同学保研去向具体如下：

★保研本校：295人，占比60.45%；

★保研外校：193人；占比39.55%。

其中：双一流院校录取176人，占比36.98%；

985院校录取78人，占比16.39%；

211院校录取161人，占比33.82%。

目前统计到476人的具体录取去向，暂有12人未统计到。特别说明：因存在大量同名同姓的情况，通过姓名及专业的比对结果故存在偏差，仅供参考",,,488,,461,,,,,,,,,,
100,江苏,江苏师范大学,江苏师范大学,358,7.04%, ,,,424,,,,,,,,,,,,
101,湖北,长江大学,,,, ,,,292,,264,,,,,,,,,,
102,湖北,武汉大学,,,,"武汉大学2023届共有2270人获得推免名额，小编查询对比到的只有大约746人。在已有数据中武汉大学推免生保研去向最多的院校是武汉大学本校，其次是北京大学。
①在小编已经收集到的数据中，保研去向武大本校的推免生有630人，其中选择临床医学专业的推免生是最多的，其次是选择摄影测量与遥感以及信息与通信工程专业，分别有30人以及28人；
②保研去向北京大学的有103人，其中有9人选择了生物学，选择电子信息、化学、自然地理学专业的推免生分别有7人。",,29.81%,2270,27.93%,,,,25.2%,,,,,,,
103,湖北,武汉科技大学,,,,"武汉科技大学保研去向最多的院校是武汉科技大学本校，其次是华南理工大学，再就是中南大学和华中科技大学。可以看出武汉科技大学的推免生在推免时倾向于选择华南地区的学校。
●保研至武汉科技大学本校的351人分别去向了87个专业，其中有7个专业的录取人数在10人及以上:机械电子工程12人；电子信息工程11人；土木工程、软件工程、临床医学、计算机科学与技术、化学工程与工艺各有10人。其余自动化、机械工程、采矿工程等专业录取人数在1-8人不等。
●保研至华南理工大学的15人有4人选择材料科学与工程专业，3人选择机械工程专业。其余社会工作等6个专业录取人数在1-2人。",,6.68%,380,6.24%,346,5.73%,,5.1%,,4.7%,,,,,
104,湖北,华中农业大学,,,,"华中农业大学2023年推免名额为9096，在已有数据中华中农业大学推免生保研去向最多的院校是华中农业大学本校，其次是武汉大学以及华中科技大学。
保研至华中农业大学本校的同学中上岸作物遗传育种、风景园林学专业的占多数，分别有15人，生物工程的有11人，选择预防兽医学、社会工作专业的同学均为10人；
保研到武汉大学的推免生中有7人上岸化学专业，选择遗传学、微生物学(普微)、生物化学与分子生物学、发育生物学的分别有3人；
保研到华中科技大学的推免生中选择生物学、基础医学、环境科学与工程专业的分别有3人，选择社会工作、化学、风景园林、动力工程及工程热物理专业的则分别有2人。",,,906,,,,,,,,,,,,
105,湖北,武汉理工大学,,,, ,1666,18.32%,1509,16.76%,1423,15.62%,,14.9%,,14.8%,,,,,
106,湖北,华中师范大学,华中师范大学,699,13.35%,华中师范大学23保研去向总体质量非常高：流向北师大和华东师大人数最多，武大和华科录取人数也非常多。北京大学、清华大学、复旦大学、上海交通大学、南京大学、浙江大学、中国科学技术大学、中国人民大学等顶尖名校录取人数占比大。,,9.46%,432,9.28%,400,8.67%,,9.1%,,9.1%,,,,,
107,湖北,湖北中医药大学,,,, ,,,144,,130,,,,,,,,,,
108,湖北,湖北大学,湖北大学,421,8.21%,"湖北大学2023届329名同学保研去向具体如下：

★保研本校：38人，占比11.55%；

★保研外校：291人；占比88.45%。

其中：双一流院校录取242人，占比82.03%；

985院校录取88人，占比29.83%；

211院校录取224人，占比75.93%。

目前统计到295人的具体录取去向，暂有34人未统计到。特别说明：因存在大量同名同姓的情况，通过姓名及专业的比对结果故存在一定偏差，此结果仅供参考。",,,329,,,,,,,,,,,,
109,湖北,武汉体育学院,武汉体育学院,107,3.27%, ,,,81,,80,,,,,,,,,,
110,湖南,吉首大学,吉首大学,147,2.78%, ,,,92,1.61%,76,2%,,1.3%,,3.22%,,,,,
111,湖南,湖南科技大学,湖南科技大学,289,3.77%, ,256,3.36%,184,2.45%,143,1.66%,,,,,,,,,
112,湖南,湖南师范大学,湖南师范大学,861,13.91%,"从学校公布的2023届保研人数来看，学校共有837人获得了保研机会，其中保研留校深造的学生人数为301人，保研到外校深造的人数达到了536人。这些保研的学生去向大部分都已经统计清楚，只有39人未能统计到具体的保研去向，其余的798人中，985院校占357人、211高校占774人（含985院校）、中国科学院录取9人，双一流大学录取778人，另外有20人去向了“四非”院校。
湖南师范大学保研学生去向中，湖南省内高校占主流。除本校301人以外，中南大学80人、湖南大学54人居保研学生去向前两位，另外国防科技大学9人，这是很多网友所不能想到的。湖南省内4所高校占保研学生去向的55.6%左右，一大半保研学生留在了省内高校深造。",,14.31%,837,14.05%,725,12.44%,,13.33%,,13.2%,,,,,
113,湖南,南华大学,,,,"南华大学2023届普通类239名同学保研去向具体如下：

★保研本校：2人，占比0.84%；

★保研外校：237人；占比99.16%。

其中：双一流院校录取192人，占比84.21%；

985院校录取115人，占比50.44%；

211院校录取173人，占比75.88%。

目前统计到228人的具体录取去向，暂有11人未统计到。特别说明：因存在大量同名同姓的情况，通过姓名及专业的比对结果故存在一定偏差，此结果仅供参考。",,,239,3.27%,196,2.82%,,2.3%,,2.4%,,,,,
114,安徽,蚌埠医学院,,,5.2%,"在可查询到的数据中，蚌埠医学院推免生去向最多的蚌埠医学院本校，其次是苏州大学、以及山东大学。
保研到蚌埠医学院的同学中人数占多数的是选择临床医学专业的同学有28人，护理学专业9人，医学影像学6人，制药工程以及医学检验技术专业的有5人。
保研到苏州大学的推免生分别选择了药学、外科学、神经病学、神经病学、精神病与精神卫生学等专业；保研到山东大学的推免生有2人选择了公共卫生专业，其他选择细胞生物学、流行病与卫生统计学、骨科学专业的分别有1人。
除以上提到推免生选择最多的3所院校之外，蚌埠医学院23届推免生保研去向中国科学技术大学的有4人，去向江南大学以及华东理工大学的分别有3人，中南大学、中国地质大学（武汉）、江苏大学、复旦大学、安徽大学的分别有2人。
在蚌埠医学院保研去向数据中已知院校中有7所是985院校，15所是211院校以及19所是双一流院校。",,5.17%,99,4.11%,76,2.8%,,,,,,,,,
115,安徽,安徽工业大学,安徽工业大学,282,4.41%,"安徽工业大学2023届195名保研同学录取去向总体情况：

保研本校：21人；

保研外校：174人（59所院校）；

暂未统计到去向人数：9人。

211院校录取154人，其中：985院校录取74人。211院校录取率80.0%，985院校录取率38%。

拟录取人数最多的院校是本校，达21人，占比达1/5。外校中，中国科学技术大学录取人数最大有13人，其次是中南大学和南京航空航天大学各录取11人。合肥工业大学和安徽大学各录取8人和4人。",,4%,195,3.28%,162,2.83%,,2.9%,,,,,,,
116,黑龙江,哈尔滨理工大学,哈尔滨理工大学,255,3.93%,"哈尔滨理工大学2023届254名同学保研去向如下：

★保研本校：24人，占比9.45%；

★保研外校：230人；占比90.55%；

其中：双一流院校录取214人，占比84.25%；

985院校录取144人，占比56.70%；

211院校录取213人，占比83.86%。

保研外校230名同学中，目前统计到230人的录取去向。特别说明：因存在大量同名同姓的情况，通过姓名及专业的比对结果有一定偏差，仅供参考。",,3.93%,254,3.58%,238,3.04%,,3.1%,,,,,,,
117,黑龙江,黑龙江科技大学,黑龙江科技大学,113,2.73%,,,1.5%,81,1.49%,72,1.26%,,1.5%,,1.5%,,,,,
118,黑龙江,东北农业大学,东北农业大学,732,11.89%,在已有数据中东北农业大学推免生保研去向最多的院校是东北农业大学本校，其次是吉林大学，再就是山东大学。,,11.64%,652,11.43%,600,10.18%,,9.3%,,7.7%,,,,,
119,黑龙江,东北林业大学,东北林业大学,1037,20.74%, ,,21.32%,888,18.7%,813,17%,,15.7%,,14.1%,,,,,
120,黑龙江,哈尔滨商业大学,哈尔滨商业大学,200,3.28%,在已有数据中哈尔滨商业大学推免生保研去向最多的院校是哈尔滨商业大学本校，其次是山东大学，再就是中南财经政法大学、西南财经大学、深圳大学以及吉林大学。,,2.3%,150,2.51%,141,2.25%,,2%,,,,,,,
121,吉林,东北电力大学,,205,4.24%, ,,3.73%,146,2.87%,131,3.18%,,,,,,,,,
122,重庆,重庆医科大学,,,, ,394,10.2%,338,8.98%,303,8.4%,,7%,,7%,,,,,
123,重庆,重庆大学,重庆大学,1594,25.11%, ,,23.69%,1396,22.04%,1367,21.6%,,20.63%,,19.94%,,,,,
124,重庆,西南大学,,,,西南大学2024届本科生中，有13名学生被中国科学院录取，有147名学生被西南大学录取(不完全统计)，有六名学生被保送到北京大学攻读硕士研究生学位。此外还有学生被保送到同济大学，武汉大学，上海财经大学，南开大学等院校学习。,,11.43%,868,11.54%,,,,,,8.28%,,,,,
125,重庆,四川外国语大学,,,,四川外国语大学2024届本科生中有13名学生被四川外国语大学录取为硕士研究生，有两名学生被保送到北京大学读研，有九名学生被保送到上海外国语大学，除此之外，还有学生被南开大学，华东政法大学，上海财经大学，外交学院，同济大学等院校录取为硕士研究生。,150,4.5%,145,4.3%,,,,,,,,,,,
126,海南,海南师范大学,海南师范大学,97,1.57%, ,,1.3%,66,1.71%,,1.54%,,1.5%,,,,,,,
127,海南,海南大学,,,, ,,7.7%,649,7.72%,638,6.7%,,6.7%,,,,,,,
128,云南,云南师范大学,云南师范大学,273,3.58%, ,,4.4%,237,3.62%,218,3.27%,,,,,,,,,
129,云南,云南农业大学,,,, ,,,81,1.2%,,,,,,,,,,,
130,广西,桂林理工大学,桂林理工大学,141,1.81%,,136,1.5%,115,1.54%,105,1.51%,,,,,,,,,
131,甘肃,兰州大学,,,,,,27%,1215,26.76%,1151,24.77%,,24.27%,,22.1%,,,,,
132,甘肃,兰州理工大学,,,6%,"2023兰州理工大学保研去向排名前10的院校，保研去向人数最多的院校是兰州理工大学本校，其次是西安电子科技大学，再就是西北工业大学。可见兰州理工大学的推免生倾向于选择西北地区的院校。
●保研去向兰州理工大学本校的175名推免生人数最多的专业是机械设计制造及其自动化(红柳基地班)和电气工程及其自动化专业，各有11人。其余软件工程、物联网工程等专业人数较少。
●保研去向西安电子科技大学的16人中有4人被计算机技术专业录取，信息与通信工程、人工智能、机械工程等专业人数在3人以下。
●保研去向西北工业大学的14人里有6人是在材料工程专业的。",,4.4%,249,4.41%,220,3.92%,,3.4%,,,,,,,
133,甘肃,甘肃农业大学,甘肃农业大学,282,6.49%, ,242,5.39%,210,4.77%,,4.08%,,,,,,,,,
134,甘肃,兰州交通大学,兰州交通大学,236,4.31%,"兰州交通大学2023届191名同学保研去向具体如下：

★保研本校：4人，占比2.10%；

★保研外校：187人；占比97.9%。

其中：双一流院校录取164人，占比90.61%；

985院校录取60人，占比90.06%；

211院校录取163人，占比33.15%。

目前统计到181人的具体录取去向，暂有10人未统计到。",,3.91%,191,3.35%,185,3.25%,,,,,,,,,
135,青海,青海大学,,,,"青海大学2023届普通类231名同学保研去向具体如下：

★保研本校：10人，占比4.33%；

★保研外校：221人；占比95.67%。

其中：双一流院校录取215人，占比98.17%；

985院校录取132人，占比60.27%；

211院校录取192人，占比87.67%。",,4.9%,231,4.97%,204,4.8%,,,,,,,,,
136,新疆维吾尔自治区,石河子大学,石河子大学,672,12.17%, ,,14.62%,550,10.12%,,9.18%,,8.49%,,7.4%,,,,,
137,新疆维吾尔自治区,新疆农业大学,新疆农业大学,249,3.53%, ,,3.51%,170,3.54%,,,,,,,,,,,
138,天津,天津大学,天津大学,1656,35.05%,保研去向以本校为主，外校去向包括清华、北航、浙大等,1592,33.9%,1337,28.3%,1182,24.22%,,23.7%,,23%,,,,,
139,福建,厦门大学(校本部),厦门大学(校本部),1614,27.83%,"厦门大学2023届1278名保研同学录取去向如下：
保研本校：538人，占比42.1%；
保研外校：740人（65所院校）；
暂未统计到去向人数：62人。
顶尖名校录取人数情况如下：共录取407人，具体如下：
★北京大学拟录取：54人；★清华大学拟录取：37人；★北京大学医学部拟录取：12人；★复旦大学拟录取：61人；★上海交通大学拟录取：39人；★中国科学技术大学拟录取：18人；★浙江大学拟录取：46人；★南京大学拟录取：43人；★中国人民大学拟录取：38人；★中国科学院拟录取：48人；★国防科技大学拟录取：5人。★北京协和医学院拟录取：6人。",1476,31.95%,1278,,1192,,,,,,,,,,
140,北京,北京大学(医学部),北京大学(医学部),226,26.13%,,235,28.59%,225,,,,,,,,,,,,
141,北京,中国政法大学,,,31.06%,"中国政法大学2024届本科毕业生一共有595人获得研究生录取资格，其中143人获得校外录取资格，452人获得本校录取资格。共有10人获得本校直博生录取资格，1人获得中中社会科学院大学直博生录取资格。

584人获得硕士录取资格，其中保研本校442人、保研外校142人。其中定向本校推免230人（法学实验班、外国语学院双专业双学位、退役大学生、研究生支教团）。

推免外校人数较多的学校：中国人民大学25人、北京大学12人、复旦大学10人、吉林大学7人、中南财经政法大学7人、北京航空航天大学5人、南京大学5人、山东大学5人、华东师范大学4人、清华大学4人、同济大学4人、武汉大学4人、西南政法大学4人、浙江大学4人、北京师范大学3人、深圳大学3人、苏州大学3人。",595,27.28%,624,28%,565,25.98%,,23.6%,,20.5%,,,,,
142,四川,西南交通大学,西南交通大学,1352,19%,,1290,17.84%,,17.78%,1234,16.94%,,16.3%,,16.5%,,,,,
143,内蒙古,内蒙古大学,内蒙古大学,516,13.14%,,486,14.21%,,11.65%,,13.39%,,10.3%,,,,,,,
144,河南,河南大学,,,,,1157,13.37%,1098,12.86%,1051,11.9%,,10.1%,,9.6%,,,,,
145,湖南,湘潭大学,湘潭大学,779,12.8%, ,744,12.51%,691,12%,643,10.7%,,10.2%,,10.1%,,,,,
146,福建,福州大学,,,, ,655,10.56%,615,10.17%,,9.73%,,8.2%,,,,,,,
147,四川,四川农业大学,四川农业大学,967,10.26%,"数据显示：保研本校人数约为1/3，其余同学选择保研外校，且基本为双一流顶尖高校。
其中，保研外校中人数较多的是北京大学、北京航天航空大学、电子科技大学、东南大学、华南理工大学等国内双一流顶尖院校。",963,10.34%,837,9.27%,747,8.21%,,6.7%,,6.3%,,,,,
148,江苏,南京邮电大学,南京邮电大学,666,11%, ,580,10.25%,474,7.96%,382,7.27%,,5.5%,,4.4%,,,,,
149,辽宁,沈阳药科大学,,,, ,183,8.47%,,8.27%,,8.74%,,,,,,,,,
150,上海,上海海洋大学,上海海洋大学,283,9.29%,,243,7.95%,,7.03%,,,,,,,,,,,
151,浙江,中国美术学院,中国美术学院,178,9.8%,2023中国美术学院90%以上的推免生都选择了保研本校，其中人数最多的专业是艺术设计专业和美术专业，分别有25人和20人；其次是设计学专业12人。除此之外，保研去向其他几所院校的都各有1人。,140,7.88%,,6.19%,,,,5.3%,,,,,,,
152,上海,上海理工大学,上海理工大学,320,7.95%, ,280,6.93%,245,5.96%,,,,,,4.8%,,,,,
153,四川,成都中医药大学,成都中医药大学,385,8.07%, ,318,6.78%,271,8.72%,215,4.6%,,,,,,,,,
154,陕西,西安建筑科技大学,,,, ,313,6.47%,281,5.61%,266,5.26%,,5%,,4.5%,,,,,
155,福建,厦门大学(马来西亚分校),,,,,42,6.28%,37,,36,,,,,,,,,,
156,广东,华南农业大学,华南农业大学,576,6.24%,"2023届公示名单425名同学，
其中保研本校约92人。（根据姓名专业比对，不精准，仅供参考）
保研外校约333人。",517,5.16%,425,4.55%,,3.9%,,3.7%,,3.7%,,,,,
157,湖南,湖南中医药大学,,,,"保研去向人数最多的院校是湖南中医药大学本校，其次是中南大学，再就是中国药科大学。除列举的院校之外，还有复旦大学、上海交通大学、北京协和医院等院校。
●湖南中医药大学保研至本校的22名推免生中，中医内科学专业人数最多，有6人。中医外科学、护理、中药学人数在4人及以下。
●湖南中医药大学保研至中南大学的21名推免生中，有4人是放射影像学专业的。其余内科学、外科学、药学等专业人数在3人及以下。
●湖南中医药大学保研至中国药科大学的9人分布在制药工程学、生药学、中药制剂学等专业。",175,4.92%,,4.12%,,3.11%,,3.1%,,3.1%,,,,,
158,上海,上海海事大学,,,, ,197,4.89%,169,4.28%,,,,3.4%,,3.4%,,,,,
159,江苏,徐州医科大学,,,,"2023届公示名单111名同学，
其中保研本校约26人。（根据姓名专业比对，不精准，仅供参考。徐州医科大学研究生院2023年拟录取推免生37人，其中比对出本校26人，另有3名研支团成员不在保研公示名单中。）
保研外校约11人。",147,4.87%,111,3.53%,,,,2.9%,,,,,,,
160,重庆,重庆邮电大学,重庆邮电大学,262,5.04%, ,243,4.79%,212,4.1%,,,,3.5%,,3.5%,,,,,
161,吉林,吉林财经大学,吉林财经大学,116,4.51%, ,99,4.34%,82,2.93%,,,,,,,,,,,
162,江西,江西中医药大学,江西中医药大学,159,4.4%, ,119,4.06%,,2.91%,,,,1.4%,,1.4%,,,,,
163,福建,福建农林大学,福建农林大学,321,5.59%, ,271,3.99%,251,,246,,,,,,,,,,
164,河北,河北工程大学,河北工程大学,252,4.35%,在已有数据中河北工程大学推免生保研去向最多的院校是西安电子科技大学，其次是大连理工大学、中国矿业大学（北京）,223,3.83%,198,3.59%,186,3.28%,,2.8%,,,,,,,
165,陕西,山西农业大学,,,, ,231,3.64%,189,3.33%,,2.96%,,2.4%,,,,,,,
166,辽宁,沈阳师范大学,沈阳师范大学,218,4.04%, ,184,3.58%,151,3.15%,,,,,,,,,,,
167,浙江,杭州师范大学,杭州师范大学,230,3.16%, ,195,3.57%,113,2.1%,,,,,,,,,,,
168,河南,河南财经政法大学,河南财经政法大学,253,4.03%,,213,3.49%,,2.57%,,,,,,,,,,,
169,湖南,湖南农业大学,湖南农业大学,263,4.09%, ,223,3.38%,,3.21%,,,,3.4%,,3.4%,,,,,
170,黑龙江,东北石油大学,东北石油大学,208,4.08%, ,207,约3.23%,,4.15%,,,,4.7%,,4.7%,,,,,
171,陕西,延安大学,延安大学,147,3.6%, ,129,3.09%,,2.65%,,,,2.5%,,2.5%,,,,,
172,西藏,西藏民族大学,,,,,71,2.7%,,,,,,3.2%,,,,,,,
173,广东,广东海洋大学,广东海洋大学,165,1.71%, ,130,1.34%,115,1.18%,,,,,,,,,,,
174,陕西,西安交通大学,,,,西安交通大学2022届保研本校996人，占比71.1%，第二多的是同宗同源的上海交通大学85人，浙江 大学43人、清华大学41人、复旦大学33人、中科院所属研究所30人、北京大学23人、中国科学技术大学19人、南京 大学18人、中国科学院大学18人、中国人民大学15人、中山大学10人、北京 协和医学院6人、上海财经大学4人、中南大学2人、上海外国语大学1人、武汉大学社会学院 1人，其他大学55人。,,36.6%,1647,37.5%,1400,32.5%,,31.3%,,30.2%,,,,,
175,黑龙江,哈尔滨工业大学,哈尔滨工业大学,2681,33.94%, ,,36.1%,,30.29%,,22.5%,,30%,,31.9%,,,,,
176,天津,天津医科大学,,,,"天津医科大学2023届274名同学保研去向如下：
★保研本校：62人，占比22.63%；
★保研外校：212人；占比77.37%。
目前统计到265人的具体录取去向，暂有9人未统计到。",,29.1%,274,29.13%,,,,10%,,,,,,,
177,广东,中山大学,,,, ,,29.29%,,27.69%,,21%,,,,,,,,,
178,上海,华东师范大学,华东师范大学,963,35.48%,"华东师范大学2024届同学保研去向：
★ 保研本校：463人，占比61.65%；
★ 保研外校：288人；占比38.35%；
保研外校288名同学中，目前统计到275人的录取去向,暂有13人未统计到录取去向。",,19.43%,841,18.46%,703,22.04%,,21.9%,,22.1%,,,,,
179,北京,中国石油大学(北京）,中国石油大学(北京),960,23.3%, ,,,573,,,,,,,,,,,,
180,辽宁,东北大学,东北大学,1515,30.52%, ,,26%,,23.1%,,,,15.42%,,16.7%,,,,,
181,四川,电子科技大学,电子科技大学,1473,30.02%, ,1390,28.1%,1232,25.12%,1086,22.17%,,19.86%,,17.9%,,,,,
182,北京,北京外国语大学,北京外国语大学,485,35.4%, ,,29.66%,353,24.9%,,19.5%,,20.2%,,11.9%,,,,,
183,广东,哈尔滨工业大学(深圳）,,,,"哈尔滨工业大学(深圳)2024届341名同学保研去向：
★ 保研本校：291人，占比85.34%；
★ 保研外校：50人；占比14.66%；
保研外校50名同学中，目前统计到47人的录取去向,暂有3人未统计到录取去向。特别说明：因存在大量同名同姓的情况，通过姓名及专业的比对结果有一定偏差，仅供参考。
保研外校主要是清华大学19人，北京大学5人，中国人民大学4人，中国科学技术大学4人，中国科学院大学3人。",341,24.48%,,,,,,,,,,,,,
184,上海,上海音乐学院,,,,全部保研本校,,23.8%,,23.8%,,,,9.35%,,,,,,,
185,北京,中国社会科学院大学,,,,,128,34.32%,,22.9%,89,22.4%,,16.4%,,38.8%,,,,,
186,北京,北京科技大学,,,,"保研去向最多的院校是北京科技大学本校，其次是北京理工大学，再就是西北工业大学。
北京科技大学保研本校的推免生中选择材料科学与工程专业的占多数，有46人；其次是机械工程专业25人；再就是物流工程以及数学专业分别有4人；
保研至北京理工大学的推免生中有5人选择材料工程专业，占多数；保研至西北工业大学的推免生中选择材料工程的有4人，设计学、工业设计工程、材料加工工程专业则分贝有1人选择。",,28%,566,27%,,,,,,20%,,,,,
187,广东,华南理工大学,华南理工大学,1593,24.59%,"华南理工大学2023届1360名同学保研去向具体如下：
★保研本校：897人，占比65.96%；对本校认可度超高！
★保研外校：463人；占比34.04%。
其中：双一流院校录取1315人，占比99.70%；
985院校录取1267人，占比96.06%；
211院校录取1286人，占比97.50%。
目前统计到1319人的具体录取去向，暂有41人未统计到",,24.48%,1360,21.85%,1259,"
21.3%",,19.6%,,18.2%,,,,,
188,山东,中国石油大学(华东）,,,,"中国石油大学(华东)2023届960名同学保研去向具体如下：
★ 保研本校：398人，占比41.46%；
★ 保研外校：562人；占比58.54%。
其中：双一流院校录取930人，占比100%；
985院校录取406人，占比43.66%；
211院校录取881人，占比94.73%。
目前统计到930人的具体录取去向，暂有30人未统计到",,,960,,,,,,,,,,,,
189,北京,中国矿业大学,,,,"中国矿业大学2023届1136名同学保研去向具体如下：
★保研本校：431人，占比37.94%；
★保研外校：705人；占比62.06%。
其中：双一流院校录取1095人，占比99.82%；
985院校录取491人，占比44.76%；
211院校录取1029人，占比93.80%。
目前统计到1097人的具体录取去向，暂有39人未统计到。",,,1136,,,,,,,,,,,,
190,上海,华东理工大学,华东理工大学,1026,24.83%,"华东理工大学2024届981名同学保研去向：
★ 保研本校：591人，占比60.24%；
★ 保研外校：290人；占比39.76%；
保研外校290名同学中，目前统计到264人的录取去向,暂有26人未统计到录取去向。",981,23.44%,846,20.4%,813,19%,,18.4%,,18.2%,,,,,
191,北京,北京林业大学,北京林业大学,730,21.1%,"北京林业大学2023届普通类675名同学保研去向具体如下：
★ 保研本校：164人，占比24.30%；对本校认可度高！
★ 保研外校：511人；占比75.70%。
其中：双一流院校录取628人，占比97.97%；
985院校录取290人，占比45.24%；
211院校录取554人，占比86.43%。
目前统计到641人的具体录取去向，暂有34人未统计到。",,20.61%,675,19.6%,665,19.1%,,18.7%,,18.9%,,,,,
