序号,城市,本科院校,ing,2025届,,24届保研去向,2024届,,2023届,,2022届,,2021届,,2020届,,,,,,
,,,,保研人数,保研率,,保研人数,保研率,保研人数,保研率,保研人数,保研率,保研人数,保研率,保研人数,保研率,,,,,
25,陕西,西北工业大学,西北工业大学,1437,35.46%,保研本校人数约为五分之二，其余同学选择保研外校，且基本为双一流顶尖高校。其中，保研外校中人数较多的是北京大学、北京航空航天大学、大连理工大学、电子科技大学、东南大学、哈尔滨工业大学、南京大学、上海交通大学等国内顶尖院校,1267,33%,1202,31%,1091,29%,,27.1%,,25.9%,,,,,
26,北京,清华大学,清华大学,2142,61.2%,据悉，清华大学历届保研本校占比约40%，其余同学保外。保研外校的主要去向有：北京大学、复旦大学、中国人民大学、中国科学院大学、中山大学等,3688,76%,,70%,,58%,,58.3%,,58.38%,,,,,
27,北京,北京大学,北京大学(校本部),1954,65.07%,据悉，除保研本校的学生外，保研国内外校的学生主要选择清华大学、复旦大学、中国科学院大学等top高校。如2022届北京大学有67名保研同学保研到了中国科学院大学,1767,,,,,,,,,,,,,,
28,北京,中国科学院大学,中国科学院大学,262,64.85%,保研本校人数约为五分之四，其余同学选择保研外校。保研外校中，人数较多的是清华大学、北京大学、复旦大学、上海交通大学、中国科学技术大学等国内顶级院校,268,64%,199,49.1%,188,47.59%,,42%,,33.2%,,,,,
29,安徽,中国科学技术大学,中国科学技术大学,992,56.76%,"保研本校人数约为五分之四，其余同学选择保研外校。
保研外校中，人数较多的是北京大学、中国科学院大学、上海交通大学、复旦大学、清华大学等国内顶级院校。",1177,61.43%,921,48.73%,909,46.18%,,42%,,38.8%,,,,,
30,江苏,南京大学,南京大学,1381,48.05%,"据悉，南京大学保研本校占比超50%，南大保研学生绝大部分都会选择留在本校，原因是：①外保选择选择空间有限，且竞争激烈；②保本校相对容易。
其余具有保研资格的同学都保研到了清华大学，北京大学，中国科学院大学，中国科学技术大学，上海财经大学，上海外国语大学，中山大学，北京外国语大学，厦门大学等各大名校，外保实力也不容小觑",1589,48.5%,,39.55%,1209,37.47%,,34%,,31.3%,,,,,
31,上海,上海科技大学,上海科技大学,201,46.74%,"保研本校人数约为四分之三，其余同学选择保研外校。
保研外校中，人数较多的是中国科学院大学、上海交通大学、北京大学、复旦大学、国防科技大学、华中科技大学、清华大学等国内顶级院校",192,46%,181,43.46%,153,36.08%,,33.2%,,24.9%,,,,,
32,北京,北京理工大学,,,,保研本校人数约为五分之四，其余同学选择保研外校。总体而言，北理保研至TOP院校的人数较多，在985院校中具有较强的优势和实力。北理每年都有不少同学通过自己的努力成功上岸清北，也有同学保研到了中国科学院大学、南京大学、中山大学等国内顶尖院校，总体保研质量很高。另外，上海外国语大学、北京外国语大学、上海财经大学等专业性很强的院校每年也会接收一定数量的北理推免生，这些院校在行业内的认可度很高，也是非常不错的选择,1591,44%,1273,33.39%,1045,28.41%,,25.1%,,21%,,,,,
33,上海,上海交通大学,上海交通大学,1807,45.95%,据悉，除保研本校的学生外，保研外校的学生主要选择北京大学、清华大学、复旦大学、中国科学院大学等top高校。如2022届上海交通大学有31名保研同学保研到了北京大学,1733,43%,1531,30.73%,1415,34.81%,,32.6%,,31.4%,,,,,
34,上海,复旦大学,复旦大学,1521,44.13%,"总体而言，复旦大学除了有超过一半的推免生选择保研本校外，还有较多推免生能保研至各个TOP高校，在全国985院校中具有较大的优势和实力。复旦大学每年都会有同学保研到北京大学、清华大学、上海交通大学、南京大学等国内顶尖高校。另外，中国科学技术大学、中国科学院大学、上海交通大学、北京师范大学等专业性较强的院校每年也会接受较多数量的复旦大学推免生，这些院校的专业水平在业内认可度极高。
此外，2024年复旦大学拟录取的保研生共有2917人是硕士研究生，占比约73.57%。拟录取的博士研究生人数是1048人，占比约26.43%。拟录取保研硕士研究生的人数，比拟录取保研博士研究生的人数多1869人。",1459,41%,1334,38.62%,1242,37.22%,,33.8%,,30.4%,,,,,
35,浙江,浙江大学,浙江大学,2265,38.42%,"保研本校人数约为五分之三，其余同学选择保研外校。
保研外校中，人数较多的是北京大学、清华大学、中国科学院大学、南京大学、中国科学技术大学、中山大学、上海财经大学、上海外国语大学等国内双一流高校。",2572,40%,2146,33.97%,1955,29.01%,,25.7%,,25.9%,,,,,
36,上海,同济大学,同济大学,1689,35.54%,据统计，2024届同济大学的推免生中，保研外校的去向主要有：北京大学、上海交通大学、复旦大学、清华大学、北京师范大学、华东师范大学、南开大学、中国科学院大学等,1627,36.9%,1517,34.66%,1378,31.8%,,27.8%,,27.7%,,,,,
37,江苏,东南大学,东南大学,1319,32.24%,"保研本校人数约为三分之二，其余同学选择保研外校。
保研外校中，人数较多的是上海交通大学、南京大学、清华大学、同济大学、浙江大学、北京大学等国内顶级院校。",1482,35%,1139,29.85%,1011,25.3%,,23.1%,,21%,,,,,
38,北京,中国人民大学,中国人民大学,1144,39.02%,"保研本校人数约为四分之三，其余同学选择保研外校。
保研外校中，人数较多的是北京大学、中国科学院大学、中山大学、上海外国语大学、上海交通大学、复旦大学、清华大学、武汉大学等国内top高校。保研质量可以说是非常高，在中国高校内属于顶尖水平，加上地理位置优越，保研er们要好好把握机会啦~",1076,34%,995,35.9%,953,34.24%,,30.2%,,,,,,,
39,天津,南开大学,南开大学,1545,37.45%,据悉，南开大学近年保研外校占比约42%，保研外校具体去向为：北京大学、清华大学、复旦大学，中国人民大学，上海交通大学，南京大学等，外保实力也不容小觑！,1434,34.1%,,26.5%,1007,25.02%,,24.5%,,22.9%,,,,,
40,湖北,华中科技大学,华中科技大学,2480,37.2%,"保研本校人数约为五分之四，其余同学选择保研外校，且基本为双一流顶尖高校。
其中，保研外校中人数较多的是北京大学、清华大学、复旦大学、上海交通大学、中国人民大学、浙江大学、南京大学等国内顶尖院校。",2417,36.52%,2086,29.63%,1998,27.95%,,26.6%,,26.5%,,,,,
41,福建,厦门大学,,1505,28.8%,"保研本校人数约为三分之一，其余同学选择保研外校。
保研外校中，人数较多的是清华大学、北京大学、上海交通大学、复旦大学、浙江大学、中国人民大学、西安交通大学、中国科学技术大学等国内一流高校。",1450,31.95%,1278,24.14%,1192,24.39%,,23.4%,,23.2%,,,,,
42,北京,北京师范大学,北京师范大学,828,34.07%,"在2024届推免生中，有国际商学院学生保研至华东师范大学社会发展学院的，也有不少同学保研至北京大学马克思主义学院、中国语言文学系、物理学院等，有艺术与传媒学院同学保研至上海交通大学媒体与传播学院的，有哲学学院保研至四川大学道教与宗教文化研究所的。
总体来看，北师大保研的er选择保研本校的人数较多，且占比越来越高，外保的院校都非常好，很多学生保研到了清北复交人等顶尖院校。因此想要保送去更好的院校需要各位保研er提前做好准备，从绩点、科研论文、竞赛等方面全方位提升自己的竞争力，争取在保研面试中脱颖而出，上岸梦校！",650,30.05%,669,31.26%,692,36.35%,,35%,,33.6%,,,,,
43,山东,山东大学（校本部）,山东大学,2596,25.27%,从历年推免去向看，山东大学（校本部）保研同学每届的保研院校和去向基本处于稳定状态，通常一半以上的同学保研至本校。在2025届推免人数中，通过统计得知，保送清北复交人的众多，北京大学、上海交通大学、南京大学、中国人民大学、同济大学、南京大学等top院校是主要去向。,2004,30.06%,1617,25.9%,1620,26.13%,,25.4%,,20%,,,,,
44,北京,中国农业大学,中国农业大学,1140,32.56%,中国农业大学的推免同学中，选择保研本校的约占三分之一。其余大部分选择保研外校。从去向的外校情况来看，北京大学、上海财经大学、中国人民大学占比较大，成为农大推免生的前排选项。,1016,29.21%,929,28.84%,864,27.08%,,27.4%,,23.6%,,,,,
45,四川,四川大学,四川大学,2361,28.06%, ,2264,25%,2165,24%,2146,23.5%,,22.5%,,22.3%,,,,,
46,湖南,中南大学,中南大学,2051,25.71%,"保研本校人数越为四分之一，大部分同学选择保研外校，且基本为双一流顶尖高校。
其中，保研外校中人数较多的是湖南大学，华中科技大学，武汉大学，武汉理工大学，武汉科技大学，中山大学，华南理工大学，南方医科大学，四川大学，重庆大学，中国矿业大学，南京医科大学，东南大学，浙江大学等国内双一流院校。",2022,22.36%,1782,21.82%,1799,20.5%,,18%,,17.9%,,,,,
47,湖南,湖南大学,,,,"保研本校人数约为三分之二，其余同学选择保研外校，且基本为双一流顶尖高校。
其中，保研外校中人数较多的是华中科技大学、西安交通大学、浙江大学、厦门大学、华南理工大学、同济大学、武汉大学等国内顶尖双一流院校。",1240,24.4%,1195,23.51%,1114,22.04%,,20.23%,,19.7%,,,,,
