,河南省12所,,,,,长春中医药大学,长春理工大学,吉林农业大学,长春工业大学,
,郑州大学,河南理工大学,河南科技大学,河南农业大学,,吉林师范大学,吉林财经大学,长春师范大学,北华大学,
,河南大学,河南师范大学,华北水利水电大学,河南工业大学,,云南省9所,,,,
,河南中医药大学,河南财经政法大学,郑州轻工业大学,河南医药大学,,云南大学,昆明理工大学,云南农业大学,昆明医科大学,
,山西省9所,,,,,云南师范大学,云南民族大学,云南财经大学,西南林业大学,
,山西大学,太原科技大学,中北大学,太原理工大学,,云南中医药大学,,,,
,山西农业大学,山西医科大学,山西师范大学,山西财经大学,,重庆市10所,,,,
,山西中医药大学,,,,,重庆大学,重庆邮电大学,重庆交通大学,重庆医科大学,
,福建省9所,,,,,西南政法大学,西南大学,重庆师范大学,四川外国语大学,
,厦门大学,华侨大学,福州大学,福建农林大学,,中国人民解放军陆军军医大学,四川美术学院,,,
,福建医科大学,福建中医药大学,福建师范大学,集美大学,,广西9所,,,,
,闽南师范大学,,,,,广西大学,桂林理工大学,广西医科大学,广西师范大学,
,江西省10所,,,,,广西艺术学院,桂林电子科技大学,广西中医药大学,广西民族大学,
,南昌大学,华东交通大学,南昌航空大学,江西理工大学,,桂林医科大学,,,,
,江西农业大学,江西师范大学,江西财经大学,江西中医药大学,,甘肃省8所,,,,
,东华理工大学,景德镇陶瓷大学,,,,兰州大学,兰州理工大学,兰州交通大学,甘肃农业大学,
,贵州省6所,,,,,甘肃中医药大学,西北师范大学,西北民族大学,兰州财经大学,
,贵州大学,贵州医科大学,遵义医科大学,贵州师范大学,,新疆8所,,,,
,贵州中医药大学,贵州民族大学,,,,新疆大学,新疆农业大学,石河子大学,新疆医科大学,
,内蒙古7所,,,,,新疆师范大学,新疆财经大学,塔里木大学,喀什大学,
,内蒙古大学,内蒙古工业大学,内蒙古农业大学,内蒙古师范大学,,青海3所,,,,
,内蒙古科技大学,内蒙古医科大学,内蒙古民族大学,,,青海大学,青海师范大学,青海民族大学,,
,宁夏3所,,,,,海南3所,,,,
,宁夏大学,宁夏医科大学,北方民族大学,,,海南大学,海南师范大学,海南医科大学,,
,西藏3所,,,,,,,,,
,西藏大学,西藏民族大学,西藏农牧大学,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
